"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 21 05:13:44 MSK 2024","Fri Jun 21 05:13:48 MSK 2024","4278","tests","test_order","TestOrder","","","Проверка лого - переход на Яндекс",""
"passed","Fri Jun 21 05:13:29 MSK 2024","Fri Jun 21 05:13:29 MSK 2024","249","tests","test_main_page","TestScooterMain","","","Проверка Полей ответы на вопросы",""
"passed","Fri Jun 21 05:13:30 MSK 2024","Fri Jun 21 05:13:31 MSK 2024","245","tests","test_main_page","TestScooterMain","","","Проверка Полей ответы на вопросы",""
"passed","Fri Jun 21 05:13:27 MSK 2024","Fri Jun 21 05:13:28 MSK 2024","245","tests","test_main_page","TestScooterMain","","","Проверка кнопки Заказать из шапки",""
"passed","Fri Jun 21 05:13:29 MSK 2024","Fri Jun 21 05:13:29 MSK 2024","253","tests","test_main_page","TestScooterMain","","","Проверка Полей ответы на вопросы",""
"passed","Fri Jun 21 05:13:28 MSK 2024","Fri Jun 21 05:13:28 MSK 2024","241","tests","test_main_page","TestScooterMain","","","Проверка Полей ответы на вопросы",""
"passed","Fri Jun 21 05:13:30 MSK 2024","Fri Jun 21 05:13:30 MSK 2024","245","tests","test_main_page","TestScooterMain","","","Проверка Полей ответы на вопросы",""
"passed","Fri Jun 21 05:13:30 MSK 2024","Fri Jun 21 05:13:30 MSK 2024","243","tests","test_main_page","TestScooterMain","","","Проверка Полей ответы на вопросы",""
"passed","Fri Jun 21 05:13:49 MSK 2024","Fri Jun 21 05:13:52 MSK 2024","3138","tests","test_order","TestOrder","","","Проверка создания заказа с корректными данным",""
"passed","Fri Jun 21 05:13:29 MSK 2024","Fri Jun 21 05:13:29 MSK 2024","247","tests","test_main_page","TestScooterMain","","","Проверка Полей ответы на вопросы",""
"passed","Fri Jun 21 05:13:28 MSK 2024","Fri Jun 21 05:13:28 MSK 2024","473","tests","test_main_page","TestScooterMain","","","Проверка кнопки Заказать из середины страницы",""
"passed","Fri Jun 21 05:13:52 MSK 2024","Fri Jun 21 05:13:55 MSK 2024","3132","tests","test_order","TestOrder","","","Проверка создания заказа с корректными данным",""
"passed","Fri Jun 21 05:13:48 MSK 2024","Fri Jun 21 05:13:49 MSK 2024","318","tests","test_order","TestOrder","","","Проверка лого - переход на главную",""
"passed","Fri Jun 21 05:13:30 MSK 2024","Fri Jun 21 05:13:30 MSK 2024","248","tests","test_main_page","TestScooterMain","","","Проверка Полей ответы на вопросы",""
